# nubosidad (%), modelo combustible -> sombreado (%)
(50, 11) -> 75
(50, 12) -> 75
(55, 0) -> 41
(55, 1) -> 41
(55, 2) -> 41
(55, 3) -> 41
(55, 4) -> 41
(55, 5) -> 41
(55, 6) -> 41
(55, 7) -> 75
(55, 8) -> 75
(55, 9) -> 75
(55, 10) -> 75
(55, 11) -> 75
(55, 12) -> 75
(60, 0) -> 45
(60, 1) -> 45
(60, 2) -> 45
(60, 3) -> 45
(60, 4) -> 45
(60, 5) -> 45
(60, 6) -> 45
(60, 7) -> 75
(60, 8) -> 75
(60, 9) -> 75
(60, 10) -> 75
(60, 11) -> 75
(60, 12) -> 75
(65, 0) -> 48
(65, 1) -> 48
(65, 2) -> 48
(65, 3) -> 48
(65, 4) -> 48
(65, 5) -> 48
(65, 6) -> 48
(65, 7) -> 75
(65, 8) -> 75
(65, 9) -> 75
(65, 10) -> 75
(65, 11) -> 75
(65, 12) -> 75
(70, 0) -> 52
(70, 1) -> 52
(70, 2) -> 52
(70, 3) -> 52
(70, 4) -> 52
(70, 5) -> 52
(70, 6) -> 52
(70, 7) -> 100
(70, 8) -> 100
(70, 9) -> 100
(70, 10) -> 100
(70, 11) -> 100
(70, 12) -> 100
(75, 0) -> 56
(75, 1) -> 56
(75, 2) -> 56
(75, 3) -> 56
(75, 4) -> 56
(75, 5) -> 56
(75, 6) -> 56
(75, 7) -> 100
(75, 8) -> 100
(75, 9) -> 100
(75, 10) -> 100
(75, 11) -> 100
(75, 12) -> 100
(80, 0) -> 60
(80, 1) -> 60
(80, 2) -> 60
(80, 3) -> 60
(80, 4) -> 60
(80, 5) -> 60
(80, 6) -> 60
(80, 7) -> 100
(80, 8) -> 100
(80, 9) -> 100
(80, 10) -> 100
(80, 11) -> 100
(80, 12) -> 100
(85, 0) -> 63
(85, 1) -> 63
(85, 2) -> 63
(85, 3) -> 63
(85, 4) -> 63
(85, 5) -> 63
(85, 6) -> 63
(85, 7) -> 100
(85, 8) -> 100
(85, 9) -> 100
(85, 10) -> 100
(85, 11) -> 100
(85, 12) -> 100
(90, 0) -> 67
(90, 1) -> 67
(90, 2) -> 67
(90, 3) -> 67
(90, 4) -> 67
(90, 5) -> 67
(90, 6) -> 67
(90, 7) -> 100
(90, 8) -> 100
(90, 9) -> 100
(90, 10) -> 100
(90, 11) -> 100
(90, 12) -> 100
(95, 0) -> 71
(95, 1) -> 71
(95, 2) -> 71
(95, 3) -> 71
(95, 4) -> 71
(95, 5) -> 71
(95, 6) -> 71
(95, 7) -> 100
(95, 8) -> 100
(95, 9) -> 100
(95, 10) -> 100
(95, 11) -> 100
(95, 12) -> 100
#(-10, -5) -> -999
#(-10, -4) -> -999
#(-10, -3) -> -999
#(-10, -2) -> -999
#(-10, -1) -> -999
#(-5, -5) -> -999
#(-5, -4) -> -999
#(-5, -3) -> -999
#(-5, -2) -> -999
#(-5, -1) -> -999
(100, 1) -> 75
(105, 1) -> 78
(110, 1) -> 82
(115, 1) -> 86
